# glassId	equipId	name	xu	luong
3	12	nón khỉ 3	15000	-1
4	11	nón rocket 3	15000	-1
5	10	nón granos 3	15000	-1
6	9	nón gà 3	15000	-1
7	11	tóc tarzan 3	10000	-1
8	10	nón apache 3	15000	-1
9	9	nón laser 3	15000	-1
0	17	nón cannon 4	15000	12
1	12	nón ak 4	15000	12
2	15	nón proton 4	15000	12
3	16	nón khỉ 4	15000	12
4	16	nón rocket 4	15000	12
5	14	nón granos 4	15000	12
6	13	nón gà 4	15000	12
7	14	tóc tarzan 4	15000	12
8	14	nón apache 4	15000	12
9	12	nón laser 4	15000	12
0	42	nón bạc	200000	160
1	36	nón bạc	200000	160
2	36	nón bạc	200000	160
3	36	nón bạc	200000	160
4	36	nón bạc	200000	160
5	35	nón bạc	200000	160
6	36	nón bạc	200000	160
7	37	nón bạc	200000	160
8	36	nón bạc	200000	160
9	36	nón bạc	200000	160
0	47	nón vàng	-1	400
1	41	nón vàng	-1	400
2	41	nón vàng	-1	400
3	41	nón vàng	-1	400
4	41	nón vàng	-1	400
5	40	nón vàng	-1	400
6	41	nón vàng	-1	400
7	42	nón vàng	-1	400
8	41	nón vàng	-1	400
9	41	nón vàng	-1	400
0	22	batman	-1	50
0	26	ironman	-1	50
0	33	zombie	-1	50
0	36	bí ngô	-1	50
1	15	batman	-1	50
1	19	ironman	-1	50
1	30	zombie	-1	50
1	33	bí ngô	-1	50
2	19	batman	-1	50
2	23	ironman	-1	50
2	30	zombie	-1	50
2	33	bí ngô	-1	50
3	20	batman	-1	50
3	24	ironman	-1	50
3	31	zombie	-1	50
3	34	bí ngô	-1	50
4	21	batman	-1	50
4	25	ironman	-1	50
4	30	zombie	-1	50
4	33	bí ngô	-1	50
5	18	batman	-1	50
5	21	ironman	-1	50
5	29	zombie	-1	50
5	32	bí ngô	-1	50
6	17	batman	-1	50
6	21	ironman	-1	50
6	30	zombie	-1	50
6	33	bí ngô	-1	50
7	18	batman	-1	50
7	22	ironman	-1	50
7	31	zombie	-1	50
7	34	bí ngô	-1	50
8	18	batman	-1	50
8	22	ironman	-1	50
8	30	zombie	-1	50
8	33	bí ngô	-1	50
9	15	batman	-1	50
9	19	ironman	-1	50
9	30	zombie	-1	50
9	33	bí ngô	-1	50
0	4	áo cannon 1	1000	-1
1	4	áo ak 1	1000	-1
2	4	áo proton 1	1000	-1
3	4	áo khỉ 1	1000	-1
4	4	áo rocket 1	1000	-1
5	4	áo granos 1	1000	-1
6	4	áo gà 1	1000	-1
7	4	áo tarzan 1	1000	-1
8	4	áo apache 1	1000	-1
9	4	áo laser 1	1000	-1
0	8	áo cannon 2	5000	-1
1	7	áo ak 2	5000	-1
2	8	áo proton 2	5000	-1
3	8	áo khỉ 2	5000	-1
4	7	áo rocket 2	5000	-1
5	7	áo granos 2	5000	-1
6	7	áo gà 2	5000	-1
7	8	áo tarzan 2	5000	-1
8	7	áo apache 2	5000	-1
9	7	áo laser 2	5000	-1
0	13	áo cannon 3	10000	-1
1	10	áo ak 3	15000	-1
2	13	áo proton 3	15000	-1
3	13	áo khỉ 3	15000	-1
4	12	áo rocket 3	15000	-1
5	11	áo granos 3	15000	-1
6	10	áo gà 3	15000	-1
7	12	áo tarzan 3	15000	-1
8	11	áo apache 3	15000	-1
9	10	áo laser 3	15000	-1
0	18	áo cannon 4	15000	12
1	13	áo ak 4	15000	12
2	16	áo proton 4	15000	12
3	17	áo khỉ 4	15000	12
4	17	áo rocket 4	15000	12
5	15	áo granos 4	15000	12
6	14	áo gà 4	15000	12
7	16	áo tarzan 4	15000	12
8	15	áo apache 4	15000	12
9	13	áo laser 4	15000	12
0	43	giáp bạc	200000	160
1	37	giáp bạc	200000	160
2	37	giáp bạc	200000	160
3	37	giáp bạc	200000	160
4	37	giáp bạc	200000	160
5	36	giáp bạc	200000	160
6	37	giáp bạc	200000	160
7	38	giáp bạc	200000	160
8	37	giáp bạc	200000	160
9	37	giáp bạc	200000	160
0	48	giáp vàng	-1	400
1	42	giáp vàng	-1	400
2	42	giáp vàng	-1	400
3	42	giáp vàng	-1	400
4	42	giáp vàng	-1	400
5	41	giáp vàng	-1	400
6	42	giáp vàng	-1	400
7	43	giáp vàng	-1	400
8	42	giáp vàng	-1	400
9	42	giáp vàng	-1	400
0	32	kính cannon 1	500	-1
1	22	kính ak 1	500	-1
2	26	kính proton 1	500	-1
3	28	khiêng khỉ 1	500	-1
4	28	kính rocket 1	500	-1
5	25	kính granos 1	500	-1
6	25	giày gà 1	500	-1
7	26	dao tarzan 1	500	-1
8	26	dao apache 1	500	-1
9	22	kính laser 1	500	-1
0	11	kính cannon 2	5000	-1
1	24	kính ak 2	5000	-1
2	27	kính proton 2	5000	-1
3	11	khiêng khỉ 2	5000	-1
4	10	kính rocket 2	5000	-1
5	9	kính granos 2	5000	-1
6	27	giày gà 2	5000	-1
7	28	dao tarzan 2	5000	-1
8	27	dao apache 2	5000	-1
9	24	kính laser 2	5000	-1
0	16	kính cannon 3	10000	-1
1	26	kính ak 3	10000	-1
2	28	kính proton 3	10000	-1
3	29	khiêng khỉ 3	10000	-1
4	14	kính rocket 3	10000	-1
5	13	kính granos 3	10000	-1
6	28	giày gà 3	10000	-1
7	10	nón tarzan 3	15000	-1
8	28	kh_n apache 3	10000	-1
9	26	kính laser 3	10000	-1
0	21	kính cannon 4	10000	7
1	28	kính ak 4	15000	12
2	29	kính proton 4	15000	12
3	30	khiêng khỉ 4	15000	12
4	20	kính rocket 4	15000	12
5	17	kính granos 4	15000	12
6	29	giày gà 4	15000	12
7	30	dao tarzan 4	15000	12
8	29	kh_n apache 4	15000	12
9	28	kinh laser 4	15000	12
0	45	kính bạc	200000	160
1	39	kính bạc	200000	160
2	39	kính bạc	200000	160
3	39	khiên bạc	200000	160
4	39	kính bạc	200000	160
5	38	kính bạc	200000	160
6	40	giày bạc	200000	160
7	40	kính bạc	200000	160
8	39	cánh bạc	200000	160
9	39	kính bạc	200000	160
0	50	kính vàng	-1	400
1	45	kính vàng	-1	400
2	45	kính vàng	-1	400
3	45	khiên vàng	-1	400
4	45	kính vàng	-1	400
5	44	kính vàng	-1	400
6	45	giày vàng	-1	400
7	46	kính vàng	-1	400
8	45	dao vàng	-1	400
9	45	kính vàng	-1	400
0	6	balo cannon 1	500	-1
1	23	balo ak 1	500	-1
2	6	balo proton 1	500	-1
3	6	balo khỉ 1	500	-1
4	29	balo rocket 1	500	-1
5	24	cánh granos 1	500	-1
6	24	cánh gà 1	500	-1
7	25	lá tarzan 1	500	-1
8	25	r_ apache 1	500	-1
9	23	balo laser 1	500	-1
0	10	balo cannon 2	5000	-1
1	25	balo ak 2	5000	-1
2	10	balo proton 2	5000	-1
3	10	balo khỉ 2	5000	-1
4	9	balo rocket 2	5000	-1
5	26	cánh granos 2	5000	-1
6	26	cánh gà 2	5000	-1
7	27	lá tarzan 2	5000	-1
8	9	kh_n apache 2	5000	-1
9	25	balo laser 2	5000	-1
0	15	balo cannon 3	10000	-1
1	27	balo ak 3	10000	-1
2	14	balo proton 3	10000	-1
3	15	balo khỉ 3	10000	-1
4	13	balo rocket 3	10000	-1
5	27	cánh granos 3	10000	-1
6	12	cánh gà 3	10000	-1
7	29	dao tarzan 3	10000	-1
8	13	tóc apache 3	10000	-1
9	27	balo laser 3	10000	-1
0	20	balo cannon 4	10000	7
1	29	balo ak 4	15000	12
2	18	balo proton 4	15000	12
3	18	balo khỉ 4	15000	12
4	19	balo rocket 4	15000	12
5	28	cánh granos 4	15000	12
6	16	cánh gà 4	15000	12
7	15	nón tarzan 4	15000	12
8	17	tóc apache 4	15000	12
9	29	balo laser 4	15000	12
0	46	balo bạc	200000	160
1	40	balo bạc	200000	160
2	40	balo bạc	200000	160
3	40	balo bạc	200000	160
4	40	balo bạc	200000	160
5	39	cánh bạc	200000	160
6	39	cánh bạc	200000	160
7	41	dao bạc	200000	160
8	40	dao bạc	200000	160
9	40	balo bạc	200000	160
0	51	balo vàng	-1	400
1	44	balo vàng	-1	400
2	44	balo vàng	-1	400
3	44	balo vàng	-1	400
4	44	balo vàng	-1	400
5	43	balo vàng	-1	400
6	44	cánh vàng	-1	400
7	45	dao vàng	-1	400
8	44	cánh vàng	-1	400
9	44	balo vàng	-1	400
10	111	hỏa pháo Draby I	1000	-1
10	112	hỏa pháo Draby II	5000	-1
10	113	hỏa pháo Draby III	10000	-1
10	114	hỏa pháo Draby IV	20000	17
10	115	hỏa pháo Draby bạc	200000	160
10	116	hỏa pháo Draby vàng	-1	400
10	151	vương miện lửa I	1000	-1
10	152	vương miện lửa II	5000	-1
10	153	vương miện lửa III	10000	-1
10	154	vương miện lửa IV	20000	17
10	155	vương miện lửa bạc	200000	160
10	156	vương miện lửa vàng	-1	400
10	157	batman	-1	50
10	158	ironman	-1	50
10	159	zombie	-1	50
10	160	bí ngô	-1	50
10	131	giáp vảy lửa I	1000	-1
10	132	giáp vảy lửa II	5000	-1
10	133	giáp vảy lửa III	10000	-1
10	134	giáp vảy lửa IV	20000	17
10	135	giáp vảy lửa bạc	200000	160
10	136	giáp vảy lửa vàng	-1	400
10	141	kính lửa I	1000	-1
10	142	kính lửa II	5000	-1
10	143	kính lửa III	10000	-1
10	144	kính lửa IV	20000	17
10	145	kính lửa bạc	200000	160
10	146	kính lửa vàng	-1	400
10	121	cánh rồng lửa I	1000	-1
10	122	cánh rồng lửa II	5000	-1
10	123	cánh rồng lửa III	10000	-1
10	124	cánh rồng lửa IV	20000	17
10	125	cánh rồng lửa bạc	200000	160
10	126	cánh rồng lửa vàng	-1	400
